	transMode	startDate	endDate	distance	speed	acceleration	hasChangepoint	hasStopPoint
3631	['walk']	2008-07-13 13:09:00	2008-07-13 13:11:39	100.07048528783604	1.0	-104.0	False	1
3632	['walk']	2008-07-13 13:11:39	2008-07-14 00:11:20	103.63612377489098	0.0	-1.0	False	3
3633	['walk']	2008-07-14 00:11:20	2008-07-14 00:12:25	105.05464771085198	2.0	2.0	False	0
3634	['walk']	2008-07-14 00:12:25	2008-07-14 00:13:17	100.40342895787519	2.0	0.0	False	0
3635	['walk']	2008-07-14 00:13:17	2008-07-14 00:14:12	106.71121043242427	2.0	0.0	False	0
3636	['walk']	2008-07-14 00:14:12	2008-07-14 00:15:02	102.01855609961503	2.0	0.0	False	0
3637	['walk']	2008-07-14 00:15:02	2008-07-14 00:15:52	103.88673720717202	2.0	0.0	False	0
3638	['walk']	2008-07-14 00:15:52	2008-07-14 00:16:47	106.2642221666684	2.0	0.0	False	0
3639	['walk']	2008-07-14 00:16:47	2008-07-14 00:17:37	109.58729334484856	2.0	0.0	False	0
3640	['walk']	2008-07-14 00:17:37	2008-07-14 00:19:07	100.53347033185707	1.0	-1.0	False	0
3641	['walk']	2008-07-14 00:19:07	2008-07-14 00:20:07	108.96958675577993	2.0	1.0	False	0
3642	['walk']	2008-07-14 00:20:07	2008-07-14 00:21:52	1632.432334718347	16.0	14.0	False	5
3643	['walk']	2008-07-14 00:21:52	2008-07-14 00:28:57	1604.2063988408936	4.0	-12.0	False	0
3644	['walk']	2008-07-14 00:28:57	2008-07-14 00:29:47	100.75779207038558	2.0	-2.0	False	0
3645	['walk']	2008-07-14 00:29:47	2008-07-14 00:30:37	13804.128601078191	276.0	274.0	False	0
