	rawClass	segment_id	previousSegmentIDs	hasNotTransportMode	hasTransportMode	hasVelocity	hasAcceleration	hasChangepoint	isFasterThanAllPrevious	hasKnownTransportMode	previousHasVelocity	previousHasAcceleration	previousHasChangepoint	previousSegmentRelation	hasStopPoint	previousHasStopPoint
0	['car']	segment(seg128_46242_0).	['segment(seg128_46242_1).', 'segment(seg128_46242_2).', 'segment(seg128_46242_3).', 'segment(seg128_46242_4).', 'segment(seg128_46242_5).']	['hasTransportMode(seg128_46242_0,bike).', 'hasTransportMode(seg128_46242_0,bus).', 'hasTransportMode(seg128_46242_0,walk).']	['hasTransportMode(seg128_46242_0,car).']	hasVelocity(seg128_46242_0,fast).	hasAcceleration(seg128_46242_0,much_slower).	empty	empty	['hasKnownTransportMode(seg128_46242_1,car).', 'hasKnownTransportMode(seg128_46242_2,car).', 'hasKnownTransportMode(seg128_46242_3,car).', 'hasKnownTransportMode(seg128_46242_4,car).', 'hasKnownTransportMode(seg128_46242_5,car).']	['hasVelocity(seg128_46242_1,very_fast).', 'hasVelocity(seg128_46242_2,below_medium).', 'hasVelocity(seg128_46242_3,below_medium).', 'hasVelocity(seg128_46242_4,medium).', 'hasVelocity(seg128_46242_5,above_medium).']	['hasAcceleration(seg128_46242_1,much_faster).', 'hasAcceleration(seg128_46242_2,unchanged).', 'hasAcceleration(seg128_46242_3,slightly_slower).', 'hasAcceleration(seg128_46242_4,much_slower).', 'hasAcceleration(seg128_46242_5,unchanged).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46242_0,seg128_46242_1).', 'previousSegmentRelation(seg128_46242_1,seg128_46242_2).', 'previousSegmentRelation(seg128_46242_2,seg128_46242_3).', 'previousSegmentRelation(seg128_46242_3,seg128_46242_4).', 'previousSegmentRelation(seg128_46242_4,seg128_46242_5).']	hasStopPoint(seg128_46242_0,none).	['hasStopPoint(seg128_46242_1,none).', 'hasStopPoint(seg128_46242_2,none).', 'hasStopPoint(seg128_46242_3,none).', 'hasStopPoint(seg128_46242_4,none).', 'hasStopPoint(seg128_46242_5,none).']
1	['car']	segment(seg128_46243_0).	['segment(seg128_46243_1).', 'segment(seg128_46243_2).', 'segment(seg128_46243_3).', 'segment(seg128_46243_4).', 'segment(seg128_46243_5).']	['hasTransportMode(seg128_46243_0,bike).', 'hasTransportMode(seg128_46243_0,bus).', 'hasTransportMode(seg128_46243_0,walk).']	['hasTransportMode(seg128_46243_0,car).']	hasVelocity(seg128_46243_0,above_medium).	hasAcceleration(seg128_46243_0,much_slower).	empty	empty	['hasKnownTransportMode(seg128_46243_1,car).', 'hasKnownTransportMode(seg128_46243_2,car).', 'hasKnownTransportMode(seg128_46243_3,car).', 'hasKnownTransportMode(seg128_46243_4,car).', 'hasKnownTransportMode(seg128_46243_5,car).']	['hasVelocity(seg128_46243_1,fast).', 'hasVelocity(seg128_46243_2,medium).', 'hasVelocity(seg128_46243_3,below_medium).', 'hasVelocity(seg128_46243_4,below_medium).', 'hasVelocity(seg128_46243_5,medium).']	['hasAcceleration(seg128_46243_1,much_slower).', 'hasAcceleration(seg128_46243_2,much_slower).', 'hasAcceleration(seg128_46243_3,unchanged).', 'hasAcceleration(seg128_46243_4,slightly_slower).', 'hasAcceleration(seg128_46243_5,much_slower).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46243_0,seg128_46243_1).', 'previousSegmentRelation(seg128_46243_1,seg128_46243_2).', 'previousSegmentRelation(seg128_46243_2,seg128_46243_3).', 'previousSegmentRelation(seg128_46243_3,seg128_46243_4).', 'previousSegmentRelation(seg128_46243_4,seg128_46243_5).']	hasStopPoint(seg128_46243_0,none).	['hasStopPoint(seg128_46243_1,none).', 'hasStopPoint(seg128_46243_2,none).', 'hasStopPoint(seg128_46243_3,none).', 'hasStopPoint(seg128_46243_4,none).', 'hasStopPoint(seg128_46243_5,none).']
2	['car']	segment(seg128_46244_0).	['segment(seg128_46244_1).', 'segment(seg128_46244_2).', 'segment(seg128_46244_3).', 'segment(seg128_46244_4).', 'segment(seg128_46244_5).']	['hasTransportMode(seg128_46244_0,bike).', 'hasTransportMode(seg128_46244_0,bus).', 'hasTransportMode(seg128_46244_0,walk).']	['hasTransportMode(seg128_46244_0,car).']	hasVelocity(seg128_46244_0,fast).	hasAcceleration(seg128_46244_0,much_faster).	empty	empty	['hasKnownTransportMode(seg128_46244_1,car).', 'hasKnownTransportMode(seg128_46244_2,car).', 'hasKnownTransportMode(seg128_46244_3,car).', 'hasKnownTransportMode(seg128_46244_4,car).', 'hasKnownTransportMode(seg128_46244_5,car).']	['hasVelocity(seg128_46244_1,above_medium).', 'hasVelocity(seg128_46244_2,below_medium).', 'hasVelocity(seg128_46244_3,medium).', 'hasVelocity(seg128_46244_4,below_medium).', 'hasVelocity(seg128_46244_5,below_medium).']	['hasAcceleration(seg128_46244_1,much_slower).', 'hasAcceleration(seg128_46244_2,slower).', 'hasAcceleration(seg128_46244_3,much_slower).', 'hasAcceleration(seg128_46244_4,unchanged).', 'hasAcceleration(seg128_46244_5,slightly_slower).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46244_0,seg128_46244_1).', 'previousSegmentRelation(seg128_46244_1,seg128_46244_2).', 'previousSegmentRelation(seg128_46244_2,seg128_46244_3).', 'previousSegmentRelation(seg128_46244_3,seg128_46244_4).', 'previousSegmentRelation(seg128_46244_4,seg128_46244_5).']	hasStopPoint(seg128_46244_0,none).	['hasStopPoint(seg128_46244_1,none).', 'hasStopPoint(seg128_46244_2,none).', 'hasStopPoint(seg128_46244_3,none).', 'hasStopPoint(seg128_46244_4,none).', 'hasStopPoint(seg128_46244_5,none).']
3	['car']	segment(seg128_46245_0).	['segment(seg128_46245_1).', 'segment(seg128_46245_2).', 'segment(seg128_46245_3).', 'segment(seg128_46245_4).', 'segment(seg128_46245_5).']	['hasTransportMode(seg128_46245_0,bike).', 'hasTransportMode(seg128_46245_0,bus).', 'hasTransportMode(seg128_46245_0,walk).']	['hasTransportMode(seg128_46245_0,car).']	hasVelocity(seg128_46245_0,very_fast).	hasAcceleration(seg128_46245_0,slightly_faster).	empty	empty	['hasKnownTransportMode(seg128_46245_1,car).', 'hasKnownTransportMode(seg128_46245_2,car).', 'hasKnownTransportMode(seg128_46245_3,car).', 'hasKnownTransportMode(seg128_46245_4,car).', 'hasKnownTransportMode(seg128_46245_5,car).']	['hasVelocity(seg128_46245_1,fast).', 'hasVelocity(seg128_46245_2,very_fast).', 'hasVelocity(seg128_46245_3,below_medium).', 'hasVelocity(seg128_46245_4,medium).', 'hasVelocity(seg128_46245_5,below_medium).']	['hasAcceleration(seg128_46245_1,much_faster).', 'hasAcceleration(seg128_46245_2,much_faster).', 'hasAcceleration(seg128_46245_3,slower).', 'hasAcceleration(seg128_46245_4,much_slower).', 'hasAcceleration(seg128_46245_5,unchanged).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46245_0,seg128_46245_1).', 'previousSegmentRelation(seg128_46245_1,seg128_46245_2).', 'previousSegmentRelation(seg128_46245_2,seg128_46245_3).', 'previousSegmentRelation(seg128_46245_3,seg128_46245_4).', 'previousSegmentRelation(seg128_46245_4,seg128_46245_5).']	hasStopPoint(seg128_46245_0,none).	['hasStopPoint(seg128_46245_1,none).', 'hasStopPoint(seg128_46245_2,none).', 'hasStopPoint(seg128_46245_3,none).', 'hasStopPoint(seg128_46245_4,none).', 'hasStopPoint(seg128_46245_5,none).']
4	['car']	segment(seg128_46246_0).	['segment(seg128_46246_1).', 'segment(seg128_46246_2).', 'segment(seg128_46246_3).', 'segment(seg128_46246_4).', 'segment(seg128_46246_5).']	['hasTransportMode(seg128_46246_0,bike).', 'hasTransportMode(seg128_46246_0,bus).', 'hasTransportMode(seg128_46246_0,walk).']	['hasTransportMode(seg128_46246_0,car).']	hasVelocity(seg128_46246_0,very_fast).	hasAcceleration(seg128_46246_0,unchanged).	empty	empty	['hasKnownTransportMode(seg128_46246_1,car).', 'hasKnownTransportMode(seg128_46246_2,car).', 'hasKnownTransportMode(seg128_46246_3,car).', 'hasKnownTransportMode(seg128_46246_4,car).', 'hasKnownTransportMode(seg128_46246_5,car).']	['hasVelocity(seg128_46246_1,very_fast).', 'hasVelocity(seg128_46246_2,above_medium).', 'hasVelocity(seg128_46246_3,very_fast).', 'hasVelocity(seg128_46246_4,below_medium).', 'hasVelocity(seg128_46246_5,medium).']	['hasAcceleration(seg128_46246_1,slightly_faster).', 'hasAcceleration(seg128_46246_2,much_slower).', 'hasAcceleration(seg128_46246_3,much_faster).', 'hasAcceleration(seg128_46246_4,slower).', 'hasAcceleration(seg128_46246_5,much_slower).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46246_0,seg128_46246_1).', 'previousSegmentRelation(seg128_46246_1,seg128_46246_2).', 'previousSegmentRelation(seg128_46246_2,seg128_46246_3).', 'previousSegmentRelation(seg128_46246_3,seg128_46246_4).', 'previousSegmentRelation(seg128_46246_4,seg128_46246_5).']	hasStopPoint(seg128_46246_0,none).	['hasStopPoint(seg128_46246_1,none).', 'hasStopPoint(seg128_46246_2,none).', 'hasStopPoint(seg128_46246_3,none).', 'hasStopPoint(seg128_46246_4,none).', 'hasStopPoint(seg128_46246_5,none).']
5	['car']	segment(seg128_46247_0).	['segment(seg128_46247_1).', 'segment(seg128_46247_2).', 'segment(seg128_46247_3).', 'segment(seg128_46247_4).', 'segment(seg128_46247_5).']	['hasTransportMode(seg128_46247_0,bike).', 'hasTransportMode(seg128_46247_0,bus).', 'hasTransportMode(seg128_46247_0,walk).']	['hasTransportMode(seg128_46247_0,car).']	hasVelocity(seg128_46247_0,very_fast).	hasAcceleration(seg128_46247_0,unchanged).	empty	empty	['hasKnownTransportMode(seg128_46247_1,car).', 'hasKnownTransportMode(seg128_46247_2,car).', 'hasKnownTransportMode(seg128_46247_3,car).', 'hasKnownTransportMode(seg128_46247_4,car).', 'hasKnownTransportMode(seg128_46247_5,car).']	['hasVelocity(seg128_46247_1,very_fast).', 'hasVelocity(seg128_46247_2,very_fast).', 'hasVelocity(seg128_46247_3,above_medium).', 'hasVelocity(seg128_46247_4,very_fast).', 'hasVelocity(seg128_46247_5,below_medium).']	['hasAcceleration(seg128_46247_1,unchanged).', 'hasAcceleration(seg128_46247_2,much_faster).', 'hasAcceleration(seg128_46247_3,much_slower).', 'hasAcceleration(seg128_46247_4,much_faster).', 'hasAcceleration(seg128_46247_5,slower).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46247_0,seg128_46247_1).', 'previousSegmentRelation(seg128_46247_1,seg128_46247_2).', 'previousSegmentRelation(seg128_46247_2,seg128_46247_3).', 'previousSegmentRelation(seg128_46247_3,seg128_46247_4).', 'previousSegmentRelation(seg128_46247_4,seg128_46247_5).']	hasStopPoint(seg128_46247_0,none).	['hasStopPoint(seg128_46247_1,none).', 'hasStopPoint(seg128_46247_2,none).', 'hasStopPoint(seg128_46247_3,none).', 'hasStopPoint(seg128_46247_4,none).', 'hasStopPoint(seg128_46247_5,none).']
6	['car']	segment(seg128_46248_0).	['segment(seg128_46248_1).', 'segment(seg128_46248_2).', 'segment(seg128_46248_3).', 'segment(seg128_46248_4).', 'segment(seg128_46248_5).']	['hasTransportMode(seg128_46248_0,bike).', 'hasTransportMode(seg128_46248_0,bus).', 'hasTransportMode(seg128_46248_0,walk).']	['hasTransportMode(seg128_46248_0,car).']	hasVelocity(seg128_46248_0,fast).	hasAcceleration(seg128_46248_0,unchanged).	empty	empty	['hasKnownTransportMode(seg128_46248_1,car).', 'hasKnownTransportMode(seg128_46248_2,car).', 'hasKnownTransportMode(seg128_46248_3,car).', 'hasKnownTransportMode(seg128_46248_4,car).', 'hasKnownTransportMode(seg128_46248_5,car).']	['hasVelocity(seg128_46248_1,very_fast).', 'hasVelocity(seg128_46248_2,fast).', 'hasVelocity(seg128_46248_3,very_fast).', 'hasVelocity(seg128_46248_4,above_medium).', 'hasVelocity(seg128_46248_5,very_fast).']	['hasAcceleration(seg128_46248_1,unchanged).', 'hasAcceleration(seg128_46248_2,much_slower).', 'hasAcceleration(seg128_46248_3,much_faster).', 'hasAcceleration(seg128_46248_4,much_slower).', 'hasAcceleration(seg128_46248_5,much_faster).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46248_0,seg128_46248_1).', 'previousSegmentRelation(seg128_46248_1,seg128_46248_2).', 'previousSegmentRelation(seg128_46248_2,seg128_46248_3).', 'previousSegmentRelation(seg128_46248_3,seg128_46248_4).', 'previousSegmentRelation(seg128_46248_4,seg128_46248_5).']	hasStopPoint(seg128_46248_0,none).	['hasStopPoint(seg128_46248_1,none).', 'hasStopPoint(seg128_46248_2,none).', 'hasStopPoint(seg128_46248_3,none).', 'hasStopPoint(seg128_46248_4,none).', 'hasStopPoint(seg128_46248_5,none).']
7	['car']	segment(seg128_46249_0).	['segment(seg128_46249_1).', 'segment(seg128_46249_2).', 'segment(seg128_46249_3).', 'segment(seg128_46249_4).', 'segment(seg128_46249_5).']	['hasTransportMode(seg128_46249_0,bike).', 'hasTransportMode(seg128_46249_0,bus).', 'hasTransportMode(seg128_46249_0,walk).']	['hasTransportMode(seg128_46249_0,car).']	hasVelocity(seg128_46249_0,fast).	hasAcceleration(seg128_46249_0,much_slower).	empty	empty	['hasKnownTransportMode(seg128_46249_1,car).', 'hasKnownTransportMode(seg128_46249_2,car).', 'hasKnownTransportMode(seg128_46249_3,car).', 'hasKnownTransportMode(seg128_46249_4,car).', 'hasKnownTransportMode(seg128_46249_5,car).']	['hasVelocity(seg128_46249_1,fast).', 'hasVelocity(seg128_46249_2,above_medium).', 'hasVelocity(seg128_46249_3,fast).', 'hasVelocity(seg128_46249_4,very_fast).', 'hasVelocity(seg128_46249_5,above_medium).']	['hasAcceleration(seg128_46249_1,unchanged).', 'hasAcceleration(seg128_46249_2,much_slower).', 'hasAcceleration(seg128_46249_3,much_slower).', 'hasAcceleration(seg128_46249_4,much_faster).', 'hasAcceleration(seg128_46249_5,much_slower).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46249_0,seg128_46249_1).', 'previousSegmentRelation(seg128_46249_1,seg128_46249_2).', 'previousSegmentRelation(seg128_46249_2,seg128_46249_3).', 'previousSegmentRelation(seg128_46249_3,seg128_46249_4).', 'previousSegmentRelation(seg128_46249_4,seg128_46249_5).']	hasStopPoint(seg128_46249_0,none).	['hasStopPoint(seg128_46249_1,none).', 'hasStopPoint(seg128_46249_2,none).', 'hasStopPoint(seg128_46249_3,none).', 'hasStopPoint(seg128_46249_4,none).', 'hasStopPoint(seg128_46249_5,none).']
8	['car']	segment(seg128_46250_0).	['segment(seg128_46250_1).', 'segment(seg128_46250_2).', 'segment(seg128_46250_3).', 'segment(seg128_46250_4).', 'segment(seg128_46250_5).']	['hasTransportMode(seg128_46250_0,bike).', 'hasTransportMode(seg128_46250_0,bus).', 'hasTransportMode(seg128_46250_0,walk).']	['hasTransportMode(seg128_46250_0,car).']	hasVelocity(seg128_46250_0,fast).	hasAcceleration(seg128_46250_0,slightly_slower).	empty	empty	['hasKnownTransportMode(seg128_46250_1,car).', 'hasKnownTransportMode(seg128_46250_2,car).', 'hasKnownTransportMode(seg128_46250_3,car).', 'hasKnownTransportMode(seg128_46250_4,car).', 'hasKnownTransportMode(seg128_46250_5,car).']	['hasVelocity(seg128_46250_1,fast).', 'hasVelocity(seg128_46250_2,fast).', 'hasVelocity(seg128_46250_3,above_medium).', 'hasVelocity(seg128_46250_4,fast).', 'hasVelocity(seg128_46250_5,very_fast).']	['hasAcceleration(seg128_46250_1,much_slower).', 'hasAcceleration(seg128_46250_2,much_faster).', 'hasAcceleration(seg128_46250_3,much_slower).', 'hasAcceleration(seg128_46250_4,much_slower).', 'hasAcceleration(seg128_46250_5,much_faster).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46250_0,seg128_46250_1).', 'previousSegmentRelation(seg128_46250_1,seg128_46250_2).', 'previousSegmentRelation(seg128_46250_2,seg128_46250_3).', 'previousSegmentRelation(seg128_46250_3,seg128_46250_4).', 'previousSegmentRelation(seg128_46250_4,seg128_46250_5).']	hasStopPoint(seg128_46250_0,none).	['hasStopPoint(seg128_46250_1,none).', 'hasStopPoint(seg128_46250_2,none).', 'hasStopPoint(seg128_46250_3,none).', 'hasStopPoint(seg128_46250_4,none).', 'hasStopPoint(seg128_46250_5,none).']
9	['car']	segment(seg128_46251_0).	['segment(seg128_46251_1).', 'segment(seg128_46251_2).', 'segment(seg128_46251_3).', 'segment(seg128_46251_4).', 'segment(seg128_46251_5).']	['hasTransportMode(seg128_46251_0,bike).', 'hasTransportMode(seg128_46251_0,bus).', 'hasTransportMode(seg128_46251_0,walk).']	['hasTransportMode(seg128_46251_0,car).']	hasVelocity(seg128_46251_0,fast).	hasAcceleration(seg128_46251_0,faster).	empty	empty	['hasKnownTransportMode(seg128_46251_1,car).', 'hasKnownTransportMode(seg128_46251_2,car).', 'hasKnownTransportMode(seg128_46251_3,car).', 'hasKnownTransportMode(seg128_46251_4,car).', 'hasKnownTransportMode(seg128_46251_5,car).']	['hasVelocity(seg128_46251_1,fast).', 'hasVelocity(seg128_46251_2,very_fast).', 'hasVelocity(seg128_46251_3,fast).', 'hasVelocity(seg128_46251_4,above_medium).', 'hasVelocity(seg128_46251_5,fast).']	['hasAcceleration(seg128_46251_1,slightly_slower).', 'hasAcceleration(seg128_46251_2,slightly_faster).', 'hasAcceleration(seg128_46251_3,much_faster).', 'hasAcceleration(seg128_46251_4,much_slower).', 'hasAcceleration(seg128_46251_5,much_slower).']	['empty', 'empty', 'empty', 'empty', 'empty']	['previousSegmentRelation(seg128_46251_0,seg128_46251_1).', 'previousSegmentRelation(seg128_46251_1,seg128_46251_2).', 'previousSegmentRelation(seg128_46251_2,seg128_46251_3).', 'previousSegmentRelation(seg128_46251_3,seg128_46251_4).', 'previousSegmentRelation(seg128_46251_4,seg128_46251_5).']	hasStopPoint(seg128_46251_0,none).	['hasStopPoint(seg128_46251_1,none).', 'hasStopPoint(seg128_46251_2,none).', 'hasStopPoint(seg128_46251_3,none).', 'hasStopPoint(seg128_46251_4,none).', 'hasStopPoint(seg128_46251_5,none).']
